barcode,product_name,brands,category,latest_price,price_per_100g,energy_kcal_100g,sugars_100g,fat_100g,salt_100g,nutriscore_numeric,nutriscore_grade
5070000126548,"Low Sugar, Naturally Gut-Loving Granola",Bio & Me,breakfast-cereals,3.95,1.0972222222222223,447.0,7.9,17.9,0.06,,a
3560070614202,Oat flakes,Carrefour,breakfast-cereals,0.89,0.178,372.0,0.7,7.0,0.0,,a
3168930003632,Flocons d'avoine complète,Quaker Oats,breakfast-cereals,2.55,0.31875,375.0,1.1,8.0,0.01,,a
5059319030517,Corn Flakes,Kelloggs,breakfast-cereals,2.4,,378.0,8.0,0.9,1.1,,d
5010029226133,nan,Weetabix,breakfast-cereals,4.39,0.7981818181818181,374.0,21.0,5.6,0.25,,c
5059319023762,Miel pops,KELLOG'S,breakfast-cereals,2.59,0.7848484848484848,384.0,22.0,1.5,0.4,,c
5010477348630,"Muesli bio 36% fruits, noix & graines",Jordans,breakfast-cereals,3.04,0.608,373.0,18.9,8.4,0.03,,c
5000436616443,Corn Flakes,Tesco,breakfast-cereals,0.88,0.176,387.0,6.1,1.2,0.59,,c
3159470001424,Céréales All Bran Kellogg's Fibre Plus,Kellogg's,breakfast-cereals,3.46,0.692,334.0,18.0,3.5,0.95,,c
3229820798110,Granola Chocolat,Bjorg,breakfast-cereals,5.69,1.625714285714286,420.0,12.0,13.0,0.01,,c
7613287157201,Cheerios Multigrain,Cheerios Multigrain,breakfast-cereals,3.45,0.8846153846153847,377.0,17.7,4.67,0.783,,c
8410188012092,Corn Flakes,Kellogg's,breakfast-cereals,3.49,0.6980000000000001,378.0,8.0,0.9,1.1,,d
3229820786605,Crousti' Avoine Chocolat,Bjorg,breakfast-cereals,5.39,1.0779999999999998,416.0,14.0,13.0,0.1,,c
20060831,Premium Fruit & Nut Muesli,Lidl,breakfast-cereals,1.99,0.2653333333333333,393.0,24.4,11.6,0.0833,,c
5059319029016,Special K,Kellogg's,breakfast-cereals,3.3,0.7499999999999999,392.0,15.0,1.3,0.825,,c
3387390326574,nan,"Cookie crisp,Nestlé",breakfast-cereals,2.75,0.7333333333333333,393.0,22.4,5.2,0.66,,c
5010477356239,Muesli bio chocolat noir,Jordans,breakfast-cereals,3.64,0.8088888888888889,398.0,8.9,11.0,0.03,,c
8480000095718,Copos de trigo espelta integral 0%,Hacendado,breakfast-cereals,1.75,0.4375,364.0,1.9,2.7,0.78,,a
5000119117342,Wheat Biscuits malty & crispy,Tesco,breakfast-cereals,2.1,0.46052631578947373,358.0,4.4,2.0,0.3,,a
5053827110983,Céréales Miel Pops,Kellogg's,breakfast-cereals,3.64,0.5870967741935484,384.0,22.0,1.5,0.4,,c
8480000094919,Muesli Frutas,"Hacendado, Mercadona",breakfast-cereals,2.7,0.27,361.0,15.0,7.6,0.08,,c
5053827199568,Tresor - Choco Nut,Kellogg's,breakfast-cereals,3.12,0.7609756097560977,453.0,26.0,15.0,0.94,,d
3159470005071,Céréales Extra Pépites Chocolat Noisettes,Kellogg's,breakfast-cereals,3.51,0.702,497.0,21.0,25.0,0.68,,e
3229820796857,Flocons d'avoine,Bjorg,breakfast-cereals,2.99,0.33222222222222225,363.333333333333,0.0,8.0,0.0833333333333333,,a
7613287170989,shredded wheat,Nestlé,breakfast-cereals,3.3,0.8918918918918918,367.0,0.7,2.2,0.05,,a
5010477354051,Muesli Bio Superfruits,Jordans,breakfast-cereals,3.97,0.8822222222222222,360.0,10.2,5.5,0.03,,a
3229820797861,Croustillant 3 noix,Bjorg,breakfast-cereals,4.79,1.0644444444444445,441.0,14.0,17.0,0.02,,b
1242942,Wholegrain Malties,Sainsbury's,breakfast-cereals,1.02,,360.0,10.7,1.67,0.425,,a
4056489300786,Knusper Müsli Schoko,"Crownfield, Lidl",breakfast-cereals,3.45,0.6900000000000001,447.0,13.7,16.2,0.41,,c
3168930010890,Quaker Cruesli Chocolat au lait,Quaker,breakfast-cereals,3.35,0.7444444444444445,457.0,20.0,19.0,0.51,,d
7613032779566,chocapic,"Nestlé, Chocapic",breakfast-cereals,5.98,0.5980000000000001,384.0,19.9,4.4,0.2,,b
7613034947611,NESTLE CHOCAPIC Céréales 750g,Nestlé,breakfast-cereals,3.23,0.43066666666666664,388.0,22.4,4.8,0.22,,c
3229820116716,Muesli aux fruits,Bjorg,breakfast-cereals,4.99,0.6653333333333333,358.0,10.0,6.0,0.02,,a
5060201621805,FUEL10K Protein Boosted Chunky Chocolate Granola imp,Fuel,breakfast-cereals,3.4,0.85,442.0,17.6,13.6,0.04,,c
5060092030977,High Protein Granola Nuts & Seeds,Lizi's,breakfast-cereals,4.99,1.4257142857142857,450.0,12.0,17.0,0.61,,c
5050083296079,Cereales special K original,Kellogg's,breakfast-cereals,3.85,0.77,392.0,15.0,1.3,0.84,,c
3387390019995,NESTLE LION céréales 400g​,"Nestlé, Lion",breakfast-cereals,2.99,0.7475,405.0,24.5,7.4,0.48,,d
7613287136053,Shreddies,Nestle,breakfast-cereals,3.45,0.7500000000000001,364.0,12.5,1.8,0.72,,b
3229820794556,Muesli Protéines,bjorg,breakfast-cereals,4.06,1.0826666666666667,382.0,11.0,12.0,0.03,,a
4056489210016,Muesli 4 nuts,Crownfield,breakfast-cereals,2.37,0.395,454.0,18.1,16.9,0.08,,c
5010477356277,Granola Amandes Noisettes & Graines,Jordans,breakfast-cereals,4.38,1.095,451.0,2.5,14.8,0.03,,a
3564706604360,Muesli pépites croustillantes chocolat-noissette réduit en sucre,"Marque Repère, Grainéa",breakfast-cereals,2.84,0.8114285714285714,432.0,9.3,16.0,0.07,,a
3564706624467,Flocons d'avoine,"Marque Repère, Grainéa",breakfast-cereals,0.85,0.16999999999999998,372.0,0.7,7.0,0.025,,a
5010029227062,Oreo O's,OREO,breakfast-cereals,5.39,1.5399999999999998,382.0,27.0,2.1,0.56,,d
5059319023533,Rice Krispies,Kellogg's,breakfast-cereals,3.03,0.8416666666666666,389.0,7.9,1.2,1.0,,c
5050083516313,Céréales Extra Kellogg's Pépites Chocolat au lait,Kellogg's,breakfast-cereals,3.04,0.608,484.0,25.0,22.0,0.68,,e
5050083535079,Céréales Trésor Kellogg's Chocolat Noisettes - 1kg,Kellogg's,breakfast-cereals,6.38,0.638,456.0,26.0,14.0,1.1,,e
3229820797946,Muesli,Bjorg,breakfast-cereals,4.91,0.6546666666666667,352.0,14.0,5.8,0.03,,a
4056489462828,Simply porridge oats,Lidl,breakfast-cereals,0.85,0.08499999999999999,368.0,1.0,8.5,0.025,,a
8480000094926,nan,"Hacendado, Mercadona",breakfast-cereals,2.55,0.51,367.0,26.0,9.3,0.11,,c
3421557910203,Flocons d'avoine complets,Terres & Céréales BIO,breakfast-cereals,2.2,0.44000000000000006,371.0,0.9,7.0,0.01,,a
4056489209980,Crunchy Muesli Multi Fruit,CROWNFIELD,breakfast-cereals,2.24,0.37333333333333335,426.0,24.1,13.9,0.245,,d
8445290728791,KitKat Cereal,Nestlé,breakfast-cereals,3.92,1.187878787878788,420.0,24.7,10.9,0.37,,d
3387390339505,nan,"Golden grahams,Nestlé",breakfast-cereals,2.42,0.6453333333333333,378.0,24.5,3.3,0.97,,d
3421557501722,Muesli croustillant tradition,Terres et Céréales,breakfast-cereals,6.15,0.615,440.0,20.0,13.0,0.05,,c
5053827101424,Smacks,"Kellogg's, Smacks",breakfast-cereals,2.72,0.68,377.0,34.0,1.6,0.02,,d
20425609,Multigrain Hoops,Crownfield,breakfast-cereals,0.85,0.22666666666666666,376.0,17.7,2.7,0.6875,,c
3421557501975,Muesli croustillant duo pépites,Terres et céréales bio,breakfast-cereals,7.15,,433.0,25.0,13.0,0.05,,c
5000119684257,FRUIT & FIBRE FRUITY CRUNCH,TESCO,breakfast-cereals,1.65,0.22,367.0,22.0,5.1,0.5,,c
7613031370641,Lion cereal with caramel and chocolate,Nestlé,breakfast-cereals,36.0,9.0,405.0,24.5,7.4,0.48,,d
5053827199667,Céréales trésor - chocolat au lait,Kellogg's,breakfast-cereals,3.61,0.8804878048780488,448.0,25.0,15.0,0.96,,e
8010265640202,Corn Flakes,Kellogg's,breakfast-cereals,2.89,0.7706666666666667,378.0,8.0,0.9,1.1,,d
4056489687337,Muesli Crunchy,"Crownfield, Lidl",breakfast-cereals,2.79,0.558,445.0,16.0,15.8,0.00013,,c
8480000094889,Copos de trigo integral y arroz 0% azúcares añadidos,"Hacendado,Mercadona",breakfast-cereals,2.0,0.4,373.0,0.667,1.67,0.6,,a
5059319025711,Special K Chocolat noir,Kellogg's,breakfast-cereals,4.4,0.8800000000000001,424.0,17.0,6.1,0.64,,d
3564706612792,Muesli 4 Noix,"Marque Repère, Grainéa",breakfast-cereals,2.03,0.40599999999999997,463.0,16.0,18.0,0.15,,c
3168930010869,nan,QUAKER,breakfast-cereals,6.04,0.6711111111111111,455.0,16.0,19.0,0.48,,c
5010029229110,"Crispy Minis Choco, céréales de blé complet enrichies en vitamines et en fer avec du chocolat",Weetabix,breakfast-cereals,4.35,0.8699999999999999,385.0,17.0,5.0,0.16,,b
3250391896554,Flocons d'avoine complète 500g,Chabrior,breakfast-cereals,0.85,0.16999999999999998,369.0,1.1,6.8,0.05,,a
5053827110679,Froot Loops,Kellogg's,breakfast-cereals,3.79,1.0106666666666666,385.0,25.0,3.0,1.13,,d
7613036669498,CHEERIOS BIO Céréale 375g,"Nestlé, Cheerios",breakfast-cereals,3.37,0.8986666666666667,388.0,18.0,6.6,0.65,,c
7613035144699,NESTLE NESQUIK Céréales 450g,"Nestlé, Nesquik",breakfast-cereals,3.05,0.6777777777777777,377.0,22.4,2.8,0.22,,c
3560071190965,Flocons d'avoine,"Carrefour BIO,Carrefour",breakfast-cereals,1.69,0.33799999999999997,372.0,0.7,7.0,0.01,,a
7622210449283,Prince Goût Chocolat,LU,sweet-snacks,1.46,0.48666666666666664,465.0,31.5,17.5,0.5,,e
3046920029759,Excellence Noir Prodigieux 90% Cacao,Lindt,sweet-snacks,2.48,2.48,592.0,7.0,55.0,0.03,,e
6111031005064,Tonik,عربي,sweet-snacks,1.0,4.545454545454546,504.0,40.0,22.2,0.217,,e
3175680011480,Sésame,Gerblé,sweet-snacks,1.54,0.6695652173913044,467.0,17.0,18.0,0.38,,c
20995553,Chocolat noir - 85% cacao,J. D. Gross,sweet-snacks,1.73,1.384,600.0,12.0,48.0,0.0,,d
8425197712024,nan,Maruja,sweet-snacks,1.6,1.0666666666666667,539.0,50.0,33.0,0.275,,e
8000500310427,Biscuits croquants au coeur onctueux de Nutella®,Nutella,sweet-snacks,3.05,1.0032894736842104,515.0,35.8,24.8,0.559,,e
3046920022651,Excellence Noir Intense 70% Cacao,Lindt,sweet-snacks,1.85,1.85,566.0,30.0,41.0,0.02,,e
3046920022606,Excellence Noir Puissant 85% Cacao,Lindt,sweet-snacks,2.33,2.33,584.0,15.0,46.0,0.02,,e
3229820100234,Fourrés Chocolat Noir,Bjorg,sweet-snacks,3.29,1.4622222222222223,476.0,27.0,19.0,0.49,,d
20022464,Extra dark 74% Cocoa,fin CARRÉ,sweet-snacks,1.29,1.29,571.0,26.0,42.0,0.02,,e
3046920028004,70% chocolate,Lindt & Sprüngli,sweet-snacks,4.45,4.45,566.0,30.0,41.0,0.0975,,e
